Breitflachstahl,   180/8,11.500,,2.50,6
Breitflachstahl,   180/10,14.400,,2.45,6
Breitflachstahl,   180/12,17.300,,2.50,6
Breitflachstahl,   180/15,21.600,,2.45,6
Breitflachstahl,   180/20,28.800,,2.45,6
Breitflachstahl,   180/25,36.000,,2.55,6
Breitflachstahl,   180/30,43.200,,2.55,6
Breitflachstahl,   180/40,57.600,,2.70,6
Breitflachstahl,   180/50,72.000,,2.70,6
Breitflachstahl,   200/5,8.000,,2.60,6
Breitflachstahl,   200/6,9.600,,2.60,6
Breitflachstahl,   200/8,12.800,,2.45,6
Breitflachstahl,   200/10,16.000,,2.45,6
Breitflachstahl,   200/12,19.200,,2.45,6
Breitflachstahl,   200/15,24.000,,2.45,6
Breitflachstahl,   200/20,32.000,,2.45,6
Breitflachstahl,   200/25,40.000,,2.50,6
Breitflachstahl,   200/30,48.000,,2.50,6
Breitflachstahl,   200/40,64.000,,2.60,6
Breitflachstahl,   200/50,80.000,,2.70,6
Breitflachstahl,   220/6,10.600,,2.65,6
Breitflachstahl,   220/8,14.100,,2.55,6
Breitflachstahl,   220/10,17.600,,2.50,6
Breitflachstahl,   220/12,21.100,,2.55,6
Breitflachstahl,   220/15,26.400,,2.50,6
Breitflachstahl,   220/20,35.200,,2.50,6
Breitflachstahl,   220/25,44.000,,2.55,6
Breitflachstahl,   220/30,52.800,,2.60,6
Breitflachstahl,   220/40,70.400,,2.70,6
Breitflachstahl,   240/10,19.200,,2.50,6
Breitflachstahl,   240/12,22.600,,2.55,6
Breitflachstahl,   240/15,28.800,,2.50,6
Breitflachstahl,   240/20,38.400,,2.50,6
Breitflachstahl,   250/6,12.000,,2.65,6
Breitflachstahl,   250/8,16.000,,2.50,6
Breitflachstahl,   250/10,20.000,,2.50,6
Breitflachstahl,   250/12,24.000,,2.50,6
Breitflachstahl,   250/15,30.000,,2.50,6
Breitflachstahl,   250/20,40.000,,2.50,6
Breitflachstahl,   250/25,50.000,,2.50,6
Breitflachstahl,   250/30,60.000,,2.50,6
Breitflachstahl,   250/40,80.000,,2.70,6
Breitflachstahl,   250/50,100.000,,2.70,6
Breitflachstahl,   260/10,20.800,,2.55,6
Breitflachstahl,   260/15,31.200,,2.55,6
Breitflachstahl,   260/20,41.600,,2.55,6
Breitflachstahl,   280/8,17.900,,2.65,6
Breitflachstahl,   280/10,22.400,,2.55,6
Breitflachstahl,   280/12,26.900,,2.65,6
Breitflachstahl,   280/15,33.600,,2.60,6
Breitflachstahl,   280/20,44.800,,2.60,6
Breitflachstahl,   280/25,56.000,,2.70,6
Breitflachstahl,   280/30,67.200,,2.70,6
Breitflachstahl,   300/6,14.400,,2.65,6
Breitflachstahl,   300/8,19.200,,2.50,6
Breitflachstahl,   300/10,24.000,,2.50,6
Breitflachstahl,   300/12,28.800,,2.55,6
Breitflachstahl,   300/15,36.000,,2.50,6
Breitflachstahl,   300/20,48.000,,2.50,6
Breitflachstahl,   300/25,60.000,,2.50,6
Breitflachstahl,   300/30,72.000,,2.50,6
Breitflachstahl,   300/40,96.000,,2.65,6
Breitflachstahl,   300/50,120.000,,2.70,6
Breitflachstahl,   350/6,16.800,,2.75,6
Breitflachstahl,   350/8,22.400,,2.65,6
Breitflachstahl,   350/10,28.000,,2.60,6
Breitflachstahl,   350/12,33.600,,2.65,6
Breitflachstahl,   350/15,42.000,,2.60,6
Breitflachstahl,   350/20,56.000,,2.50,6
Breitflachstahl,   350/25,70.000,,2.60,6
Breitflachstahl,   350/30,84.000,,2.60,6
Breitflachstahl,   350/40,112.000,,2.80,6
Breitflachstahl,   400/6,19.200,,2.70,6
Breitflachstahl,   400/8,25.600,,2.65,6
Breitflachstahl,   400/10,32.000,,2.60,6
Breitflachstahl,   400/12,38.400,,2.60,6
Breitflachstahl,   400/15,48.000,,2.50,6
Breitflachstahl,   400/20,64.000,,2.50,6
Breitflachstahl,   400/25,80.000,,2.70,6
Breitflachstahl,   400/30,96.000,,2.60,6
Breitflachstahl,   400/40,128.000,,2.75,6
Breitflachstahl,   400/50,160.000,,2.80,6
Breitflachstahl,   450/10,36.000,,2.65,6
Breitflachstahl,   450/12,43.200,,2.65,6
Breitflachstahl,   450/15,54.000,,2.65,6
Breitflachstahl,   450/20,72.000,,2.65,6
Breitflachstahl,   500/8,32.000,,2.65,6
Breitflachstahl,   500/10,40.000,,2.60,6
Breitflachstahl,   500/12,48.000,,2.65,6
Breitflachstahl,   500/15,60.000,,2.60,6
Breitflachstahl,   500/20,80.000,,2.60,6
Breitflachstahl,   500/25,100.000,,2.65,6
Breitflachstahl,   500/30,120.000,,2.65,6
Breitflachstahl,   500/40,160.000,,2.65,6
Breitflachstahl,   500/50,200.000,,2.65,6
Breitflachstahl,   600/10,48.000,,2.65,6
Breitflachstahl,   600/12,57.600,,2.65,6
Breitflachstahl,   600/15,72.000,,2.65,6
Breitflachstahl,   600/20,96.000,,2.65,6
Breitflachstahl,   600/25,120.000,,2.65,6
Breitflachstahl,   600/30,144.000,,2.65,6
Vierkantstahl,   8,0.502,,2.60,6
Vierkantstahl,   10,0.785,,2.50,6
Vierkantstahl,   12,1.130,,2.50,6
Vierkantstahl,   14,1.539,,2.55,6
Vierkantstahl,   15,1.766,,2.55,6
Vierkantstahl,   16,2.010,,2.60,6
Vierkantstahl,   18,2.543,,2.60,6
Vierkantstahl,   20,3.140,,2.50,6
Vierkantstahl,   22,3.799,,2.60,6
